strain,cond,Time,OD
337,no_gua,0856,0.062
337,no_gua,0943,0.077
337,no_gua,1049,0.211
337,no_gua,1124,0.39
337,no_gua,1225,1.028
337,no_gua,1235,0.057
337,no_gua,1312,0.105
337,no_gua,1347,0.219
337,no_gua,1400,0.303
337,no_gua,1420,0.407
337,no_gua,1430,0.486
337,no_gua,1442,0.656
337,no_gua,1457,0.796
337,no_gua,1524,1.08
337,no_gua,1620,2.18
372,no_gua,0856,0.064
372,no_gua,0943,0.088
372,no_gua,1049,0.201
372,no_gua,1124,0.331
372,no_gua,1225,0.812
372,no_gua,1235,0.04
372,no_gua,1312,0.082
372,no_gua,1347,0.158
372,no_gua,1400,0.21
372,no_gua,1420,0.279
372,no_gua,1430,0.333
372,no_gua,1442,0.408
372,no_gua,1457,0.495
372,no_gua,1524,0.676
372,no_gua,1620,1
337,gua,0856,0.056
337,gua,0943,0.079
337,gua,1049,0.241
337,gua,1124,0.474
337,gua,1225,1.418
337,gua,1235,0.085
337,gua,1312,0.176
337,gua,1347,0.371
337,gua,1400,0.505
337,gua,1420,0.656
337,gua,1430,0.838
337,gua,1442,1.094
337,gua,1457,1.37
337,gua,1524,2.168
337,gua,1620,4.48
372,gua,0856,0.058
372,gua,0943,0.088
372,gua,1049,0.208
372,gua,1124,0.352
372,gua,1225,0.956
372,gua,1235,0.05
372,gua,1312,0.097
372,gua,1347,0.187
372,gua,1400,0.25
372,gua,1420,0.329
372,gua,1430,0.399
372,gua,1442,0.495
372,gua,1457,0.624
372,gua,1524,0.808
372,gua,1620,1.35
